   Elapsed time	 RESP, 	PLETH, 	    V, 	  AVR, 	   II, 
       0:06.936	  0.182	  0.472	  0.525	  0.484	  0.439
       0:06.944	  0.175	  0.469	  0.529	  0.475	  0.465
       0:06.952	  0.167	  0.467	  0.520	  0.449	  0.494
       0:06.960	  0.161	  0.463	  0.516	  0.420	  0.539
       0:06.968	  0.156	  0.460	  0.516	  0.394	  0.580
       0:06.976	  0.152	  0.457	  0.520	  0.371	  0.625
       0:06.984	  0.148	  0.455	  0.520	  0.329	  0.676
       0:06.992	  0.144	  0.453	  0.525	  0.310	  0.706
       0:07.000	  0.141	  0.450	  0.520	  0.284	  0.741
       0:07.008	  0.138	  0.447	  0.529	  0.278	  0.755
       0:07.016	  0.135	  0.442	  0.535	  0.284	  0.751
       0:07.024	  0.134	  0.437	  0.539	  0.290	  0.735
       0:07.032	  0.132	  0.433	  0.525	  0.310	  0.706
       0:07.040	  0.131	  0.428	  0.520	  0.339	  0.661
       0:07.048	  0.131	  0.424	  0.516	  0.375	  0.606
       0:07.056	  0.131	  0.420	  0.510	  0.410	  0.551
       0:07.064	  0.132	  0.416	  0.510	  0.445	  0.506
       0:07.072	  0.133	  0.413	  0.510	  0.471	  0.461
       0:07.080	  0.134	  0.412	  0.516	  0.494	  0.429
       0:07.088	  0.135	  0.410	  0.510	  0.506	  0.410
       0:07.096	  0.136	  0.409	  0.516	  0.510	  0.404
       0:07.104	  0.136	  0.408	  0.510	  0.510	  0.404
       0:07.112	  0.137	  0.408	  0.520	  0.520	  0.400
       0:07.120	  0.137	  0.406	  0.520	  0.520	  0.404
       0:07.128	  0.137	  0.405	  0.529	  0.500	  0.425
       0:07.136	  0.137	  0.405	  0.529	  0.500	  0.429
       0:07.144	  0.137	  0.404	  0.529	  0.500	  0.435
       0:07.152	  0.136	  0.405	  0.529	  0.494	  0.445
       0:07.160	  0.135	  0.406	  0.525	  0.484	  0.449
       0:07.168	  0.133	  0.408	  0.525	  0.490	  0.449
       0:07.176	  0.131	  0.409	  0.539	  0.500	  0.445
       0:07.184	  0.128	  0.408	  0.535	  0.494	  0.445
       0:07.192	  0.126	  0.408	  0.545	  0.490	  0.449
       0:07.200	  0.124	  0.406	  0.545	  0.494	  0.449
       0:07.208	  0.121	  0.404	  0.555	  0.500	  0.439
       0:07.216	  0.117	  0.403	  0.561	  0.500	  0.435
       0:07.224	  0.113	  0.401	  0.561	  0.500	  0.435
       0:07.232	  0.108	  0.401	  0.555	  0.500	  0.425
       0:07.240	  0.103	  0.400	  0.551	  0.510	  0.420
       0:07.248	  0.096	  0.400	  0.555	  0.510	  0.420
       0:07.256	  0.090	  0.401	  0.551	  0.516	  0.416
       0:07.264	  0.082	  0.404	  0.571	  0.500	  0.429
       0:07.272	  0.075	  0.409	  0.590	  0.494	  0.439
       0:07.280	  0.069	  0.416	  0.606	  0.500	  0.435
       0:07.288	  0.064	  0.426	  0.606	  0.500	  0.429
       0:07.296	  0.060	  0.441	  0.584	  0.500	  0.420
       0:07.304	  0.056	  0.459	  0.561	  0.516	  0.390
       0:07.312	  0.052	  0.480	  0.525	  0.520	  0.380
       0:07.320	  0.049	  0.500	  0.500	  0.525	  0.380
       0:07.328	  0.046	  0.520	  0.475	  0.520	  0.394
       0:07.336	  0.043	  0.539	  0.475	  0.516	  0.404
       0:07.344	  0.041	  0.554	  0.475	  0.525	  0.390
       0:07.352	  0.039	  0.566	  0.475	  0.529	  0.384
       0:07.360	  0.038	  0.574	  0.494	  0.539	  0.380
       0:07.368	  0.037	  0.581	  0.494	  0.551	  0.359
       0:07.376	  0.036	  0.584	  0.500	  0.539	  0.365
       0:07.384	  0.036	  0.585	  0.490	  0.545	  0.359
       0:07.392	  0.036	  0.586	  0.529	  0.539	  0.375
       0:07.400	  0.036	  0.586	  0.620	  0.571	  0.294
       0:07.408	  0.037	  0.585	  0.510	  0.375	  0.651
       0:07.416	  0.038	  0.584	 -0.012	 -0.112	  1.504
       0:07.424	  0.040	  0.582	 -0.502	 -0.408	  1.504
       0:07.432	  0.042	  0.579	 -0.363	  0.018	  1.504
       0:07.440	  0.045	  0.574	  0.220	  0.500	  0.551
       0:07.448	  0.048	  0.569	  0.420	  0.565	  0.359
       0:07.456	  0.052	  0.560	  0.445	  0.539	  0.380
       0:07.464	  0.056	  0.550	  0.475	  0.535	  0.355
       0:07.472	  0.061	  0.537	  0.494	  0.545	  0.339
       0:07.480	  0.065	  0.523	  0.516	  0.551	  0.329
       0:07.488	  0.071	  0.510	  0.520	  0.535	  0.339
       0:07.496	  0.077	  0.498	  0.506	  0.539	  0.339
       0:07.504	  0.083	  0.487	  0.500	  0.539	  0.335
       0:07.512	  0.090	  0.478	  0.506	  0.545	  0.339
       0:07.520	  0.097	  0.471	  0.500	  0.545	  0.345
       0:07.528	  0.103	  0.466	  0.494	  0.529	  0.359
       0:07.536	  0.111	  0.463	  0.490	  0.525	  0.359
       0:07.544	  0.120	  0.460	  0.500	  0.520	  0.375
       0:07.552	  0.130	  0.457	  0.490	  0.525	  0.380
       0:07.560	  0.141	  0.454	  0.484	  0.516	  0.390
       0:07.568	  0.152	  0.450	  0.475	  0.500	  0.410
       0:07.576	  0.165	  0.448	  0.475	  0.480	  0.429
       0:07.584	  0.179	  0.446	  0.480	  0.484	  0.455
       0:07.592	  0.193	  0.442	  0.475	  0.445	  0.494
       0:07.600	  0.205	  0.438	  0.471	  0.420	  0.539
       0:07.608	  0.219	  0.434	  0.465	  0.390	  0.584
       0:07.616	  0.231	  0.431	  0.455	  0.355	  0.635
       0:07.624	  0.243	  0.427	  0.449	  0.329	  0.680
       0:07.632	  0.258	  0.424	  0.455	  0.310	  0.706
       0:07.640	  0.272	  0.422	  0.449	  0.304	  0.722
       0:07.648	  0.286	  0.419	  0.449	  0.290	  0.731
       0:07.656	  0.302	  0.415	  0.455	  0.304	  0.722
       0:07.664	  0.316	  0.413	  0.449	  0.314	  0.686
       0:07.672	  0.329	  0.411	  0.449	  0.349	  0.641
       0:07.680	  0.343	  0.409	  0.461	  0.390	  0.584
       0:07.688	  0.356	  0.407	  0.455	  0.439	  0.506
       0:07.696	  0.370	  0.405	  0.475	  0.475	  0.455
       0:07.704	  0.385	  0.402	  0.475	  0.506	  0.404
       0:07.712	  0.401	  0.400	  0.490	  0.539	  0.359
       0:07.720	  0.416	  0.397	  0.494	  0.551	  0.335
       0:07.728	  0.433	  0.394	  0.506	  0.565	  0.310
       0:07.736	  0.449	  0.392	  0.506	  0.590	  0.290
       0:07.744	  0.466	  0.390	  0.510	  0.580	  0.294
       0:07.752	  0.483	  0.390	  0.500	  0.575	  0.290
       0:07.760	  0.498	  0.389	  0.500	  0.590	  0.284
       0:07.768	  0.513	  0.391	  0.490	  0.571	  0.310
       0:07.776	  0.527	  0.393	  0.490	  0.580	  0.304
       0:07.784	  0.542	  0.394	  0.490	  0.590	  0.300
       0:07.792	  0.554	  0.393	  0.500	  0.565	  0.320
       0:07.800	  0.568	  0.393	  0.490	  0.551	  0.339
       0:07.808	  0.581	  0.392	  0.500	  0.555	  0.335
       0:07.816	  0.593	  0.390	  0.494	  0.561	  0.339
       0:07.824	  0.604	  0.389	  0.490	  0.545	  0.355
       0:07.832	  0.615	  0.388	  0.484	  0.551	  0.345
       0:07.840	  0.625	  0.387	  0.480	  0.545	  0.355
       0:07.848	  0.633	  0.386	  0.490	  0.545	  0.349
       0:07.856	  0.642	  0.385	  0.484	  0.565	  0.339
       0:07.864	  0.651	  0.383	  0.480	  0.561	  0.335
       0:07.872	  0.659	  0.381	  0.475	  0.561	  0.339
       0:07.880	  0.668	  0.379	  0.484	  0.565	  0.329
       0:07.888	  0.676	  0.378	  0.480	  0.555	  0.335
       0:07.896	  0.685	  0.377	  0.520	  0.555	  0.335
       0:07.904	  0.694	  0.378	  0.539	  0.561	  0.349
       0:07.912	  0.704	  0.381	  0.561	  0.539	  0.359
       0:07.920	  0.714	  0.388	  0.571	  0.545	  0.355
       0:07.928	  0.722	  0.398	  0.555	  0.545	  0.345
       0:07.936	  0.732	  0.413	  0.516	  0.561	  0.314
       0:07.944	  0.742	  0.430	  0.490	  0.571	  0.310
       0:07.952	  0.753	  0.451	  0.475	  0.571	  0.314
       0:07.960	  0.764	  0.471	  0.465	  0.575	  0.320
       0:07.968	  0.777	  0.491	  0.455	  0.571	  0.335
       0:07.976	  0.790	  0.507	  0.465	  0.565	  0.324
       0:07.984	  0.803	  0.520	  0.475	  0.565	  0.329
       0:07.992	  0.815	  0.534	  0.490	  0.580	  0.310
       0:08.000	  0.828	  0.546	  0.494	  0.580	  0.310
       0:08.008	  0.841	  0.557	  0.480	  0.571	  0.329
       0:08.016	  0.854	  0.565	  0.480	  0.580	  0.314
       0:08.024	  0.868	  0.570	  0.529	  0.575	  0.320
       0:08.032	  0.883	  0.572	  0.590	  0.590	  0.274
       0:08.040	  0.897	  0.572	  0.461	  0.335	  0.751
       0:08.048	  0.913	  0.570	 -0.073	 -0.227	  1.504
       0:08.056	  0.929	  0.568	 -0.502	 -0.424	  1.504
       0:08.064	  0.945	  0.565	 -0.237	  0.084	  1.408
       0:08.072	  0.961	  0.561	  0.284	  0.545	  0.475
       0:08.080	  0.976	  0.556	  0.461	  0.606	  0.320
       0:08.088	  0.989	  0.550	  0.449	  0.561	  0.345
       0:08.096	  0.995	  0.544	  0.475	  0.565	  0.335
       0:08.104	  1.000	  0.535	  0.494	  0.555	  0.339
       0:08.112	  1.000	  0.524	  0.516	  0.571	  0.314
       0:08.120	  1.000	  0.512	  0.535	  0.575	  0.310
       0:08.128	  1.000	  0.500	  0.545	  0.571	  0.314
       0:08.136	  1.000	  0.489	  0.535	  0.571	  0.320
       0:08.144	  1.000	  0.479	  0.535	  0.571	  0.314
       0:08.152	  1.000	  0.471	  0.535	  0.575	  0.324
       0:08.160	  1.000	  0.465	  0.545	  0.571	  0.324
       0:08.168	  1.000	  0.460	  0.539	  0.575	  0.329
       0:08.176	  1.000	  0.458	  0.529	  0.571	  0.335
       0:08.184	  1.000	  0.457	  0.525	  0.561	  0.345
       0:08.192	  1.000	  0.457	  0.529	  0.545	  0.359
       0:08.200	  1.000	  0.457	  0.539	  0.535	  0.380
       0:08.208	  1.000	  0.457	  0.555	  0.510	  0.416
       0:08.216	  1.000	  0.457	  0.561	  0.490	  0.455
       0:08.224	  1.000	  0.455	  0.545	  0.455	  0.500
       0:08.232	  1.000	  0.453	  0.520	  0.425	  0.555
       0:08.240	  1.000	  0.450	  0.510	  0.384	  0.620
       0:08.248	  1.000	  0.447	  0.494	  0.345	  0.690
       0:08.256	  1.000	  0.442	  0.480	  0.310	  0.751
       0:08.264	  1.000	  0.437	  0.471	  0.278	  0.790
       0:08.272	  1.000	  0.432	  0.465	  0.265	  0.812
       0:08.280	  1.000	  0.427	  0.471	  0.255	  0.822
       0:08.288	  1.000	  0.423	  0.475	  0.265	  0.806
       0:08.296	  1.000	  0.419	  0.480	  0.290	  0.767
       0:08.304	  1.000	  0.415	  0.494	  0.324	  0.710
       0:08.312	  1.000	  0.412	  0.510	  0.375	  0.629
       0:08.320	  1.000	  0.409	  0.520	  0.425	  0.545
       0:08.328	  1.000	  0.408	  0.529	  0.465	  0.475
       0:08.336	  1.000	  0.407	  0.529	  0.500	  0.420
       0:08.344	  1.000	  0.407	  0.539	  0.525	  0.384
       0:08.352	  1.000	  0.408	  0.545	  0.555	  0.339
       0:08.360	  1.000	  0.408	  0.561	  0.571	  0.300
       0:08.368	  1.000	  0.408	  0.571	  0.590	  0.274
       0:08.376	  1.000	  0.409	  0.565	  0.590	  0.284
       0:08.384	  1.000	  0.408	  0.555	  0.584	  0.290
       0:08.392	  1.000	  0.408	  0.555	  0.580	  0.294
       0:08.400	  1.000	  0.407	  0.545	  0.580	  0.300
       0:08.408	  1.000	  0.406	  0.539	  0.571	  0.310
       0:08.416	  1.000	  0.406	  0.529	  0.565	  0.324
       0:08.424	  1.000	  0.405	  0.529	  0.555	  0.339
       0:08.432	  1.000	  0.405	  0.520	  0.551	  0.335
       0:08.440	  1.000	  0.406	  0.525	  0.545	  0.355
       0:08.448	  1.000	  0.406	  0.520	  0.539	  0.371
       0:08.456	  1.000	  0.404	  0.525	  0.529	  0.375
       0:08.464	  1.000	  0.402	  0.516	  0.535	  0.371
       0:08.472	  1.000	  0.400	  0.506	  0.529	  0.380
       0:08.480	  1.000	  0.398	  0.506	  0.539	  0.380
       0:08.488	  1.000	  0.396	  0.500	  0.535	  0.375
       0:08.496	  0.975	  0.394	  0.506	  0.539	  0.371
       0:08.504	  0.948	  0.391	  0.500	  0.545	  0.349
       0:08.512	  0.915	  0.390	  0.506	  0.535	  0.371
       0:08.520	  0.882	  0.389	  0.494	  0.539	  0.359
       0:08.528	  0.848	  0.389	  0.500	  0.529	  0.380
       0:08.536	  0.812	  0.390	  0.516	  0.525	  0.384
       0:08.544	  0.778	  0.392	  0.539	  0.520	  0.394
       0:08.552	  0.744	  0.396	  0.555	  0.516	  0.404
       0:08.560	  0.714	  0.403	  0.565	  0.520	  0.384
       0:08.568	  0.683	  0.413	  0.535	  0.520	  0.380
       0:08.576	  0.657	  0.423	  0.520	  0.539	  0.349
       0:08.584	  0.630	  0.436	  0.490	  0.545	  0.345
       0:08.592	  0.607	  0.453	  0.475	  0.545	  0.339
       0:08.600	  0.584	  0.471	  0.445	  0.551	  0.365
       0:08.608	  0.562	  0.489	  0.439	  0.529	  0.380
       0:08.616	  0.541	  0.507	  0.445	  0.539	  0.359
       0:08.624	  0.523	  0.525	  0.455	  0.545	  0.359
       0:08.632	  0.505	  0.540	  0.471	  0.561	  0.339
       0:08.640	  0.490	  0.551	  0.475	  0.555	  0.345
       0:08.648	  0.475	  0.560	  0.475	  0.551	  0.355
       0:08.656	  0.463	  0.565	  0.471	  0.555	  0.355
       0:08.664	  0.451	  0.566	  0.500	  0.545	  0.339
       0:08.672	  0.441	  0.566	  0.600	  0.584	  0.274
       0:08.680	  0.431	  0.564	  0.490	  0.416	  0.584
       0:08.688	  0.423	  0.560	 -0.002	 -0.047	  1.469
       0:08.696	  0.415	  0.555	 -0.502	 -0.418	  1.504
       0:08.704	  0.409	  0.550	 -0.502	 -0.067	  1.504
       0:08.712	  0.402	  0.544	  0.053	  0.439	  0.676
       0:08.720	  0.396	  0.535	  0.339	  0.529	  0.429
       0:08.728	  0.390	  0.524	  0.420	  0.516	  0.416
       0:08.736	  0.384	  0.512	  0.461	  0.525	  0.384
       0:08.744	  0.379	  0.501	  0.494	  0.535	  0.359
       0:08.752	  0.373	  0.493	  0.520	  0.551	  0.329
       0:08.760	  0.368	  0.486	  0.520	  0.545	  0.339
       0:08.768	  0.362	  0.480	  0.500	  0.529	  0.359
       0:08.776	  0.356	  0.475	  0.500	  0.529	  0.371
       0:08.784	  0.350	  0.472	  0.500	  0.525	  0.365
       0:08.792	  0.345	  0.470	  0.500	  0.520	  0.384
       0:08.800	  0.340	  0.470	  0.506	  0.516	  0.380
       0:08.808	  0.335	  0.469	  0.516	  0.510	  0.390
       0:08.816	  0.330	  0.467	  0.510	  0.500	  0.404
       0:08.824	  0.326	  0.465	  0.500	  0.490	  0.416
       0:08.832	  0.322	  0.462	  0.494	  0.484	  0.425
       0:08.840	  0.317	  0.459	  0.494	  0.471	  0.461
       0:08.848	  0.313	  0.456	  0.490	  0.465	  0.471
       0:08.856	  0.310	  0.452	  0.494	  0.449	  0.494
       0:08.864	  0.308	  0.449	  0.490	  0.429	  0.516
       0:08.872	  0.306	  0.446	  0.494	  0.404	  0.565
       0:08.880	  0.305	  0.443	  0.494	  0.375	  0.610
       0:08.888	  0.304	  0.441	  0.500	  0.339	  0.671
       0:08.896	  0.304	  0.439	  0.500	  0.304	  0.716
       0:08.904	  0.304	  0.437	  0.500	  0.284	  0.741
       0:08.912	  0.305	  0.434	  0.510	  0.275	  0.761
       0:08.920	  0.306	  0.432	  0.506	  0.265	  0.780
       0:08.928	  0.308	  0.429	  0.516	  0.275	  0.786
       0:08.936	  0.310	  0.427	  0.520	  0.284	  0.741
       0:08.944	  0.313	  0.424	  0.520	  0.314	  0.696
       0:08.952	  0.315	  0.422	  0.520	  0.355	  0.635
       0:08.960	  0.319	  0.421	  0.516	  0.394	  0.575
       0:08.968	  0.322	  0.419	  0.500	  0.429	  0.520
       0:08.976	  0.326	  0.418	  0.510	  0.465	  0.465
       0:08.984	  0.329	  0.417	  0.506	  0.494	  0.425
       0:08.992	  0.334	  0.415	  0.516	  0.510	  0.400
       0:09.000	  0.339	  0.413	  0.506	  0.525	  0.380
       0:09.008	  0.344	  0.412	  0.516	  0.535	  0.375
       0:09.016	  0.348	  0.411	  0.516	  0.539	  0.359
       0:09.024	  0.353	  0.411	  0.520	  0.545	  0.355
       0:09.032	  0.358	  0.411	  0.520	  0.545	  0.355
       0:09.040	  0.361	  0.412	  0.529	  0.545	  0.359
       0:09.048	  0.365	  0.412	  0.525	  0.529	  0.375
       0:09.056	  0.368	  0.412	  0.535	  0.535	  0.371
       0:09.064	  0.370	  0.411	  0.520	  0.529	  0.375
       0:09.072	  0.370	  0.411	  0.520	  0.535	  0.371
       0:09.080	  0.371	  0.411	  0.520	  0.520	  0.390
       0:09.088	  0.370	  0.413	  0.520	  0.520	  0.394
       0:09.096	  0.370	  0.414	  0.516	  0.520	  0.390
       0:09.104	  0.369	  0.416	  0.516	  0.516	  0.404
       0:09.112	  0.367	  0.418	  0.520	  0.520	  0.410
       0:09.120	  0.365	  0.418	  0.516	  0.520	  0.400
       0:09.128	  0.362	  0.418	  0.520	  0.516	  0.404
       0:09.136	  0.356	  0.418	  0.520	  0.516	  0.404
       0:09.144	  0.351	  0.418	  0.525	  0.525	  0.390
       0:09.152	  0.343	  0.419	  0.520	  0.525	  0.384
       0:09.160	  0.335	  0.419	  0.529	  0.535	  0.365
       0:09.168	  0.326	  0.420	  0.535	  0.520	  0.394
       0:09.176	  0.318	  0.422	  0.555	  0.510	  0.410
       0:09.184	  0.308	  0.426	  0.575	  0.500	  0.425
       0:09.192	  0.299	  0.436	  0.590	  0.500	  0.425
       0:09.200	  0.289	  0.451	  0.596	  0.500	  0.416
       0:09.208	  0.281	  0.469	  0.561	  0.500	  0.416
       0:09.216	  0.273	  0.489	  0.539	  0.525	  0.371
       0:09.224	  0.264	  0.510	  0.520	  0.520	  0.384
       0:09.232	  0.256	  0.532	  0.494	  0.520	  0.380
       0:09.240	  0.248	  0.552	  0.480	  0.520	  0.400
       0:09.248	  0.240	  0.569	  0.475	  0.520	  0.390
       0:09.256	  0.234	  0.583	  0.484	  0.520	  0.380
       0:09.264	  0.228	  0.592	  0.500	  0.539	  0.359
       0:09.272	  0.222	  0.598	  0.506	  0.551	  0.345
       0:09.280	  0.218	  0.602	  0.500	  0.539	  0.371
       0:09.288	  0.214	  0.604	  0.500	  0.535	  0.365
       0:09.296	  0.209	  0.605	  0.500	  0.529	  0.384
       0:09.304	  0.204	  0.606	  0.590	  0.565	  0.304
       0:09.312	  0.199	  0.606	  0.635	  0.571	  0.290
       0:09.320	  0.196	  0.606	  0.384	  0.245	  0.896
       0:09.328	  0.190	  0.604	 -0.308	 -0.302	  1.504
       0:09.336	  0.185	  0.600	 -0.502	 -0.408	  1.504
       0:09.344	  0.180	  0.596	 -0.212	  0.224	  1.092
       0:09.352	  0.175	  0.590	  0.274	  0.506	  0.490
       0:09.360	  0.170	  0.584	  0.429	  0.520	  0.425
       0:09.368	  0.165	  0.575	  0.480	  0.506	  0.404
       0:09.376	  0.161	  0.567	  0.520	  0.516	  0.380
       0:09.384	  0.156	  0.558	  0.535	  0.520	  0.375
       0:09.392	  0.151	  0.547	  0.545	  0.535	  0.355
       0:09.400	  0.146	  0.537	  0.529	  0.525	  0.371
       0:09.408	  0.139	  0.527	  0.520	  0.510	  0.400
       0:09.416	  0.133	  0.518	  0.510	  0.500	  0.416
       0:09.424	  0.127	  0.510	  0.510	  0.490	  0.425
       0:09.432	  0.121	  0.503	  0.500	  0.471	  0.461
       0:09.440	  0.115	  0.498	  0.520	  0.471	  0.471
       0:09.448	  0.109	  0.495	  0.529	  0.475	  0.471
       0:09.456	  0.104	  0.492	  0.539	  0.461	  0.484
       0:09.464	  0.098	  0.488	  0.545	  0.449	  0.500
       0:09.472	  0.092	  0.485	  0.539	  0.445	  0.516
       0:09.480	  0.086	  0.482	  0.561	  0.425	  0.535
       0:09.488	  0.080	  0.478	  0.565	  0.416	  0.555
       0:09.496	  0.074	  0.474	  0.565	  0.400	  0.580
       0:09.504	  0.069	  0.470	  0.561	  0.380	  0.616
       0:09.512	  0.065	  0.466	  0.571	  0.355	  0.655
       0:09.520	  0.062	  0.463	  0.571	  0.329	  0.690
       0:09.528	  0.058	  0.459	  0.571	  0.300	  0.745
       0:09.536	  0.055	  0.456	  0.571	  0.278	  0.780
       0:09.544	  0.053	  0.452	  0.575	  0.259	  0.800
       0:09.552	  0.052	  0.448	  0.575	  0.249	  0.816
       0:09.560	  0.050	  0.444	  0.580	  0.245	  0.826
       0:09.568	  0.050	  0.440	  0.571	  0.265	  0.796
       0:09.576	  0.050	  0.437	  0.571	  0.290	  0.751
       0:09.584	  0.051	  0.433	  0.561	  0.329	  0.696
       0:09.592	  0.051	  0.429	  0.555	  0.359	  0.645
       0:09.600	  0.052	  0.425	  0.545	  0.410	  0.575
       0:09.608	  0.054	  0.422	  0.545	  0.455	  0.510
       0:09.616	  0.054	  0.420	  0.545	  0.484	  0.461
       0:09.624	  0.055	  0.419	  0.545	  0.500	  0.420
       0:09.632	  0.055	  0.417	  0.551	  0.525	  0.390
       0:09.640	  0.055	  0.416	  0.561	  0.539	  0.371
       0:09.648	  0.054	  0.415	  0.551	  0.545	  0.365
       0:09.656	  0.053	  0.415	  0.555	  0.545	  0.355
       0:09.664	  0.051	  0.415	  0.561	  0.545	  0.355
       0:09.672	  0.050	  0.415	  0.545	  0.551	  0.359
       0:09.680	  0.048	  0.417	  0.555	  0.551	  0.355
       0:09.688	  0.046	  0.418	  0.545	  0.539	  0.371
       0:09.696	  0.043	  0.418	  0.545	  0.535	  0.380
       0:09.704	  0.040	  0.418	  0.545	  0.539	  0.375
       0:09.712	  0.036	  0.417	  0.535	  0.525	  0.380
       0:09.720	  0.032	  0.417	  0.535	  0.529	  0.384
       0:09.728	  0.028	  0.417	  0.535	  0.525	  0.384
       0:09.736	  0.023	  0.418	  0.529	  0.529	  0.384
       0:09.744	  0.021	  0.418	  0.535	  0.525	  0.390
       0:09.752	  0.017	  0.417	  0.520	  0.539	  0.375
       0:09.760	  0.015	  0.416	  0.525	  0.539	  0.371
       0:09.768	  0.013	  0.414	  0.516	  0.545	  0.365
       0:09.776	  0.012	  0.413	  0.520	  0.539	  0.355
       0:09.784	  0.011	  0.413	  0.516	  0.551	  0.339
       0:09.792	  0.010	  0.412	  0.520	  0.555	  0.349
       0:09.800	  0.010	  0.413	  0.520	  0.535	  0.359
       0:09.808	  0.013	  0.414	  0.545	  0.525	  0.375
       0:09.816	  0.016	  0.417	  0.565	  0.525	  0.371
       0:09.824	  0.021	  0.422	  0.580	  0.529	  0.359
       0:09.832	  0.025	  0.431	  0.571	  0.520	  0.371
       0:09.840	  0.032	  0.444	  0.545	  0.535	  0.345
       0:09.848	  0.039	  0.460	  0.506	  0.545	  0.320
       0:09.856	  0.048	  0.478	  0.490	  0.555	  0.314
       0:09.864	  0.056	  0.497	  0.475	  0.551	  0.320
       0:09.872	  0.068	  0.511	  0.475	  0.561	  0.345
       0:09.880	  0.080	  0.525	  0.465	  0.545	  0.339
       0:09.888	  0.095	  0.538	  0.475	  0.555	  0.335
       0:09.896	  0.110	  0.550	  0.475	  0.565	  0.320
       0:09.904	  0.125	  0.560	  0.480	  0.575	  0.310
       0:09.912	  0.141	  0.567	  0.475	  0.565	  0.320
       0:09.920	  0.156	  0.572	  0.471	  0.571	  0.310
       0:09.928	  0.172	  0.576	  0.475	  0.575	  0.310
       0:09.936	  0.191	  0.578	  0.545	  0.596	  0.255
       0:09.944	  0.210	  0.579	  0.590	  0.600	  0.249
       0:09.952	  0.232	  0.579	  0.355	  0.233	  0.916
       0:09.960	  0.253	  0.579	 -0.257	 -0.312	  1.504
       0:09.968	  0.276	  0.577	 -0.502	 -0.418	  1.504
       0:09.976	  0.299	  0.574	 -0.122	  0.265	  1.051
       0:09.984	  0.322	  0.570	  0.335	  0.580	  0.365
       0:09.992	  0.344	  0.564	  0.439	  0.600	  0.304
